id_reve,pseudo_reveur,date,heure,titre,recit,cauchemard,lucide,nb_personnages,action,emotion
031,RêveurOptimiste,2013-11-11,09:55,"Rêveur de Nébuleuse","Mon rêve m'a transporté au cœur d'une nébuleuse où les couleurs tournoyaient et dansaient.",FALSE,FALSE,0,"Contempler","Émerveillement, Calme"
032,QuantumDancer,2018-04-03,06:00,"Danseur Quantique","J'ai rêvé de danser sur des particules quantiques, créant des mouvements infinis et enchanteurs.",FALSE,TRUE,1,"Danser","Émerveillement, Mouvement"
033,MidnightGardener,2010-08-27,11:00,"Jardinier Nocturne","Un rêve où je cultivais un jardin sous la lumière de la lune, avec des plantes phosphorescentes.",FALSE,TRUE,0,"Cultiver","Émerveillement, Sérénité"
034,AirshipCaptain,2016-01-16,09:30,"Capitaine d'Aérostat","Mon rêve m'a propulsé à bord d'un aérostat majestueux, naviguant à travers les nuages.",FALSE,TRUE,3,"Capitainer","Excitation, Exploration"
035,LunarLullaby,2009-12-08,05:50,"Berceuse Lunaire","J'ai rêvé d'une douce berceuse chantée par la lune, enveloppant le monde d'une quiétude céleste.",FALSE,FALSE,0,"Écouter","Sérénité, Rêverie"
036,ShadowFlameSummoner,2004-06-22,08:45,"Maître Invocateur des Ombres","Un rêve où je pouvais invoquer des ombres ardentes, créant des formes mystiques et puissantes.",FALSE,TRUE,0,"Invoquer","Mystère, Puissance"
037,ChroFALSEomad,2017-07-01,10:15,"Pianiste Intemporel","J'ai rêvé de jouer du piano dans des salles remplies d'échos temporels, créant une mélodie intemporelle.",FALSE,TRUE,0,"Jouer","Émotion, Créativité"
038,StormChaserDreamer,2005-04-12,07:05,"Rêveur Aquatique","Mon rêve m'a plongé dans un monde aquatique où je pouvais respirer sous l'eau et explorer des récifs colorés.",FALSE,TRUE,2,"Explorer","Émerveillement, Aventure"
039,PhoenixRider,2014-03-29,09:40,"Cavalier de Phénix","J'ai rêvé de chevaucher un phénix enflammé à travers des cieux célestes, ressentant la chaleur réconfortante.",FALSE,TRUE,0,"Chevaucher","Excitation, Liberté"
040,SongbirdDreamer,2006-09-14,06:35,"Alchimiste Lucide","Un rêve lucide où j'ai maîtrisé l'alchimie, transforma",FALSE,TRUE,2,"Plonger","Émerveillement, Aventure"
041,CelestialExplorer,2012-10-18,11:50,"Explorateur Céleste","J'ai rêvé d'explorer des astéroïdes et des comètes, traversant l'univers infini.",FALSE,TRUE,1,"Explorer","Émerveillement, Aventure"
042,QuantumGardener,2019-09-03,09:20,"Jardinier Quantique","Mon rêve m'a transporté dans un jardin quantique où les plantes changeaient en fonction de mon imagination.",FALSE,TRUE,0,"Cultiver","Créativité, Émerveillement"
043,ChroFALSEomad,2008-12-07,07:15,"Nomade Temporel","Un rêve où je voyageais à travers le temps, observant l'évolution des civilisations.",FALSE,TRUE,2,"Voyager","Émerveillement, Exploration"
044,MidsummerNightDreamer,2015-06-21,10:30,"Rêveur de la Nuit de la Saint-Jean","J'ai rêvé d'une nuit de la Saint-Jean éternelle, avec des feux de joie illuminant le ciel nocturne.",FALSE,TRUE,0,"Rêver","Joie, Magie"
045,EchoHarmony,2003-03-12,08:05,"Harmonie des Échos","Mon rêve était rempli d'échos harmonieux qui créaient une symphonie envoûtante.",FALSE,TRUE,0,"Écouter","Enchantement, Sérénité"
046,StellarArchitect,2016-08-29,11:15,"Architecte Stellaire","J'ai rêvé de concevoir des structures célestes dans l'espace, formant des constellations extraordinaires.",FALSE,TRUE,1,"Concevoir","Émerveillement, Créativité"
047,RêveurOptimiste,2010-04-02,09:45,"Voyageur Spectral","Un rêve où je me déplaçais comme une entité spectrale, explorant des dimensions invisibles.",FALSE,TRUE,0,"Voyager","Mystère, Exploration"
048,LuminousDreamweaver,2013-01-05,07:30,"Tisserand de Rêves Lumineux","J'ai rêvé de tisser des rêves lumineux qui illuminent la nuit comme des étoiles scintillantes.",FALSE,TRUE,0,"Tisser","Créativité, Émerveillement"
049,PhoenixSongDreamer,2007-07-15,10:20,"Chant du Phénix","Mon rêve m'a immergé dans le chant envoûtant d'un phénix, ressentant la puissance de sa mélodie.",FALSE,TRUE,0,"Écouter","Magie, Enchantement"
050,SkySculptor,2001-06-09,08:40,"Sculpteur Céleste","J'ai rêvé de sculpter des nuages, créant des formes éphémères dans le ciel infini.",FALSE,TRUE,0,"Sculpter","Créativité, Émerveillement"
051,StormChaserDreamer,2018-04-21,11:00,"Jongleur Quantique","Un rêve où je jonglais avec des particules quantiques, créant des figures impossibles.",FALSE,TRUE,0,"Jongler","Émerveillement, Agilité"
052,SilentObserverDream,2004-09-30,09:15,"Observateur Silencieux","J'ai rêvé d'observer le monde sans être vu, devenant un spectateur invisible.",FALSE,TRUE,0,"Observer","Mystère, Intrigue"
053,FloralConductor,2009-02-14,07:05,"Chef d'Orchestre Floral","Mon rêve m'a transformé en chef d'orchestre dirigeant une symphonie de fleurs en plein épanTRUEssement.",FALSE,TRUE,0,"Diriger","Harmonie, Créativité"
054,CosmicWeaver,2014-12-11,10:30,"Tisserand Cosmique","J'ai rêvé de tisser des fils cosmiques, créant des connexions entre les étoiles et les planètes.",FALSE,TRUE,0,"Tisser","Univers, Créativité"
055,RêveurOptimiste,2017-11-26,08:45,"Sculpteur Intemporel","J'ai rêvé de sculpter des statues qui transcendent le temps, capturant l'éternité dans la pierre.",FALSE,TRUE,0,"Sculpter","Éternité, Créativité"
056,QuantumPilot,2006-07-08,06:20,"Pilote Quantique","Un rêve où je pilotais un vaisseau quantique à travers des dimensions insoupçonnées.",FALSE,TRUE,1,"Piloter","Excitation, Exploration"
057,StardustDancer,2015-10-02,09:50,"Danseur d'Étoiles","J'ai rêvé de danser parmi les étoiles, chaque mouvement laissant une traînée de poussière scintillante.",FALSE,TRUE,0,"Danser","Émerveillement, Grâce"
058,SpectralConductor,2011-03-17,11:15,"Chef d'Orchestre Spectral","Mon rêve m'a placé à la tête d'un orchestre de sons spectraux, créant une symphonie invisible.",FALSE,TRUE,0,"Diriger","Mystère, Musique"
059,ChronoHarmonizer,2016-09-05,08:30,"Harmonisateur Temporel","J'ai rêvé d'harmoniser les flux temporels, créant des instants de paix dans l'éternité.",FALSE,TRUE,0,"Harmoniser","Sérénité, Émerveillement"
060,StardustDancer,2003-04-28,10:05,"Nomade Lunaire","Un rêve où je me déplaçais à travers des paysages lunaires, explorant des cratères mystiques.",FALSE,TRUE,1,"Voyager","Émerveillement, Exploration"
